M,one ,two,three,four,five,six,seven,eight,nine,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
183.2775,128.89,44.42,0.9,28.55,0.15,3.39,19.68,4.11,1.42,22.54,411.81,361.86,1257.82,1232,101,139,200,254.05,24.65
70.98,8.65,41.37,0.9,0.14,0.14,3.11,1.3,0.27,1.3,24.55,361.86,361.86,1257.82,101,101,139,200,236.61,24.65
81.9,13.07,41.82,0.9,0.3,0.14,3.11,1.95,0.41,1.3,24.55,361.86,361.86,1257.82,151,101,139,200,239.22,24.65
186.0075,128.89,44.42,0.9,26.21,0.14,3.11,18.07,3.78,1.3,24.55,411.81,361.86,1257.82,1232,101,139,200,254.05,24.65
34.8,4.39,18.96,1.2,0.1,0.14,1.86,0.86,0.24,1.03,27.79,285.42,342.75,1260,101,101,98.7,150,152.44,34.65
482.68,175.25,221.33,5.6,8.33,0.65,13.29,21.04,4.66,5.88,25.97,545.25,377.75,1260,763,308,417,400,421.24,48.1
439.84,115.67,218.98,5.6,3.71,0.65,13.29,14.04,3.11,5.88,25.97,545.25,377.75,1260,509,308,417,400,416.76,48.1
623.13,235.73,223.14,5.6,14.83,0.65,13.29,28.07,6.22,5.88,25.97,545.25,377.75,1260,1018,308,417,400,424.69,48.1
472.71,175.25,221.33,5.6,9.55,0.75,15.24,24.13,5.34,6.75,22.65,545.25,377.75,1260,763,308,417,400,421.24,48.1
497.94,175.25,221.33,5.6,6.71,0.52,10.7,16.94,3.75,4.74,32.27,545.25,377.75,1260,763,308,417,400,421.24,48.1
336,180.47,153.04,7.24,8.27,1.35,5.95,14.02,6.68,5.66,26.16,545.25,545.25,1260,763,308,280,400,433.79,43.1
480,178.81,227.45,7.24,8.27,1.35,13.38,21.04,6.68,8.49,26.16,545.25,545.25,1260,763,308,420,400,429.81,43.1
528,177.71,301.41,7.24,8.27,1.35,23.79,28.05,6.68,11.32,26.16,545.25,545.25,1260,763,308,560,400,427.17,43.1
394,118.97,225.55,7.24,3.72,1.35,13.38,14.11,4.48,8.49,26.16,365.83,545.25,1260,763,308,420,400,426.21,43.1
439,150.1,226.61,7.24,5.87,1.35,13.38,17.73,5.62,8.49,26.16,459.42,545.25,1260,763,308,420,400,428.21,43.1
296.2,104.62,129.57,8.55,4.91,4.91,7.53,12.15,9.81,12.15,41.35,453.61,453.61,1260,628,628,280,200,367.27,30
234.1,68.09,127.76,6.95,2.14,2.14,7.53,8.02,4.27,8.02,41.35,415.95,415.95,1260,452,452,280,200,362.14,36.95
226,50.48,126.29,5.21,1.2,1.2,7.53,6.02,2.4,6.02,41.35,415.95,415.95,1260,339,339,280,200,357.97,36.95
